site,gs,Type,TypicalDate,Date,DaysFromAvg,ndvi,sitenum,avg_ndvi_max,N,Change_ndvi_max
azitwo,1987,green-up date,1987-05-26,1987-05-18,-8,0.4343601715424292,6,0.7782932837659957,31,NA
azitwo,1987,max,1987-08-09,1987-08-06,-3,0.8038010366022288,6,0.7782932837659957,31,0.025507752836233077
azitwo,1987,senescence date,1987-10-17,1987-10-20,3,0.4276749990223147,6,0.7782932837659957,31,NA
azitwo,1988,green-up date,1988-05-26,1988-05-24,-2,0.4361155043088087,6,0.7782932837659957,31,NA
azitwo,1988,max,1988-08-09,1988-07-30,-10,0.7701264620516534,6,0.7782932837659957,31,-0.008166821714342354
azitwo,1988,senescence date,1988-10-17,1988-10-08,-9,0.4275857813294188,6,0.7782932837659957,31,NA
azitwo,1989,green-up date,1989-05-26,1989-05-27,1,0.43183173248868745,6,0.7782932837659957,31,NA
azitwo,1989,max,1989-08-09,1989-08-12,3,0.7863881490162266,6,0.7782932837659957,31,0.008094865250230843
azitwo,1989,senescence date,1989-10-17,1989-10-26,9,0.42939304337463063,6,0.7782932837659957,31,NA
azitwo,1991,green-up date,1991-05-26,1991-05-30,4,0.43313451686060583,6,0.7782932837659957,31,NA
azitwo,1991,max,1991-08-09,1991-07-24,-16,0.5965643140241107,6,0.7782932837659957,31,-0.18172896974188502
azitwo,1991,senescence date,1991-10-17,1991-09-28,-19,0.4260471569941511,6,0.7782932837659957,31,NA
azitwo,1992,green-up date,1992-05-26,1992-06-03,8,0.43180390936983587,6,0.7782932837659957,31,NA
azitwo,1992,max,1992-08-09,1992-08-16,7,0.7226311331566367,6,0.7782932837659957,31,-0.055662150609358974
azitwo,1992,senescence date,1992-10-17,1992-10-27,10,0.4293176273998669,6,0.7782932837659957,31,NA
azitwo,1993,green-up date,1993-05-26,1993-05-19,-7,0.4356805304894451,6,0.7782932837659957,31,NA
azitwo,1993,max,1993-08-09,1993-08-15,6,0.7153025920893433,6,0.7782932837659957,31,-0.06299069167665239
azitwo,1993,senescence date,1993-10-17,1993-10-24,7,0.42554560713509887,6,0.7782932837659957,31,NA
azitwo,1994,green-up date,1994-05-26,1994-05-20,-6,0.4318137170678753,6,0.7782932837659957,31,NA
azitwo,1994,max,1994-08-09,1994-08-03,-6,0.7483651242788839,6,0.7782932837659957,31,-0.029928159487111805
azitwo,1994,senescence date,1994-10-17,1994-10-15,-2,0.4298276263298791,6,0.7782932837659957,31,NA
azitwo,1996,green-up date,1996-05-26,1996-05-18,-8,0.4371137949423761,6,0.7782932837659957,31,NA
azitwo,1996,max,1996-08-09,1996-08-02,-7,0.8124921913807355,6,0.7782932837659957,31,0.03419890761473976
azitwo,1996,senescence date,1996-10-17,1996-10-12,-5,0.4266118443255891,6,0.7782932837659957,31,NA
azitwo,1997,green-up date,1997-05-26,1997-05-26,0,0.4378565918667243,6,0.7782932837659957,31,NA
azitwo,1997,max,1997-08-09,1997-08-05,-4,0.7839083290719747,6,0.7782932837659957,31,0.005615045305979005
azitwo,1997,senescence date,1997-10-17,1997-10-04,-13,0.42532559970989375,6,0.7782932837659957,31,NA
azitwo,1999,green-up date,1999-05-26,1999-05-23,-3,0.4327860230499603,6,0.7782932837659957,31,NA
azitwo,1999,max,1999-08-09,1999-08-04,-5,0.7499764783457186,6,0.7782932837659957,31,-0.028316805420277147
azitwo,1999,senescence date,1999-10-17,1999-10-12,-5,0.4260736139852646,6,0.7782932837659957,31,NA
azitwo,2000,green-up date,2000-05-26,2000-05-26,0,0.43060575095738796,6,0.7782932837659957,31,NA
azitwo,2000,max,2000-08-09,2000-08-22,13,0.764716682556073,6,0.7782932837659957,31,-0.013576601209922767
azitwo,2000,senescence date,2000-10-17,2000-10-13,-4,0.4239376426045668,6,0.7782932837659957,31,NA
azitwo,2001,green-up date,2001-05-26,2001-05-24,-2,0.4329579297394053,6,0.7782932837659957,31,NA
azitwo,2001,max,2001-08-09,2001-07-30,-10,0.77311668786963,6,0.7782932837659957,31,-0.0051765958963657654
azitwo,2001,senescence date,2001-10-17,2001-10-08,-9,0.42714216702138236,6,0.7782932837659957,31,NA
azitwo,2002,green-up date,2002-05-26,2002-05-28,2,0.43251021251915633,6,0.7782932837659957,31,NA
azitwo,2002,max,2002-08-09,2002-08-05,-4,0.7807321123508882,6,0.7782932837659957,31,0.0024388285848925273
azitwo,2002,senescence date,2002-10-17,2002-09-24,-23,0.42705533726049383,6,0.7782932837659957,31,NA
azitwo,2003,green-up date,2003-05-26,2003-06-12,17,0.4323647449603165,6,0.7782932837659957,31,NA
azitwo,2003,max,2003-08-09,2003-09-01,23,0.9304253930831463,6,0.7782932837659957,31,0.1521321093171506
azitwo,2003,senescence date,2003-10-17,2003-10-17,0,0.42208758422352677,6,0.7782932837659957,31,NA
azitwo,2004,green-up date,2004-05-26,2004-05-26,0,0.4376331891618125,6,0.7782932837659957,31,NA
azitwo,2004,max,2004-08-09,2004-08-04,-5,0.7929609214736915,6,0.7782932837659957,31,0.014667637707695746
azitwo,2004,senescence date,2004-10-17,2004-10-12,-5,0.4248098468451569,6,0.7782932837659957,31,NA
azitwo,2005,green-up date,2005-05-26,2005-05-18,-8,0.4378436541991536,6,0.7782932837659957,31,NA
azitwo,2005,max,2005-08-09,2005-08-01,-8,0.812237416751687,6,0.7782932837659957,31,0.03394413298569132
azitwo,2005,senescence date,2005-10-17,2005-10-18,1,0.42789917370301134,6,0.7782932837659957,31,NA
azitwo,2006,green-up date,2006-05-26,2006-05-20,-6,0.43621168954684886,6,0.7782932837659957,31,NA
azitwo,2006,max,2006-08-09,2006-08-18,9,0.7733785958732678,6,0.7782932837659957,31,-0.004914687892727865
azitwo,2006,senescence date,2006-10-17,2006-10-08,-9,0.42292831005350484,6,0.7782932837659957,31,NA
azitwo,2007,green-up date,2007-05-26,2007-05-26,0,0.4324629007994385,6,0.7782932837659957,31,NA
azitwo,2007,max,2007-08-09,2007-07-22,-18,0.779897050809267,6,0.7782932837659957,31,0.0016037670432712536
azitwo,2007,senescence date,2007-10-17,2007-10-19,2,0.4295425556763064,6,0.7782932837659957,31,NA
azitwo,2008,green-up date,2008-05-26,2008-05-30,4,0.43654425145624837,6,0.7782932837659957,31,NA
azitwo,2008,max,2008-08-09,2008-08-03,-6,0.798185956330728,6,0.7782932837659957,31,0.01989267256473226
azitwo,2008,senescence date,2008-10-17,2008-10-22,5,0.420137340217332,6,0.7782932837659957,31,NA
azitwo,2009,green-up date,2009-05-26,2009-05-15,-11,0.4360385010226476,6,0.7782932837659957,31,NA
azitwo,2009,max,2009-08-09,2009-07-13,-27,0.7899971879422741,6,0.7782932837659957,31,0.011703904176278423
azitwo,2009,senescence date,2009-10-17,2009-10-17,0,0.4294865839105552,6,0.7782932837659957,31,NA
azitwo,2010,green-up date,2010-05-26,2010-05-26,0,0.437984432687745,6,0.7782932837659957,31,NA
azitwo,2010,max,2010-08-09,2010-08-02,-7,0.8185716359026872,6,0.7782932837659957,31,0.04027835213669151
azitwo,2010,senescence date,2010-10-17,2010-10-13,-4,0.4262533270280721,6,0.7782932837659957,31,NA
azitwo,2011,green-up date,2011-05-26,2011-03-26,-61,0.43568316813773195,6,0.7782932837659957,31,NA
azitwo,2011,max,2011-08-09,2011-08-15,6,0.7817668394079546,6,0.7782932837659957,31,0.0034735556419588365
azitwo,2011,senescence date,2011-10-17,2011-10-12,-5,0.4286514404684869,6,0.7782932837659957,31,NA
azitwo,2012,green-up date,2012-05-26,2012-05-30,4,0.43588642077119394,6,0.7782932837659957,31,NA
azitwo,2012,max,2012-08-09,2012-08-15,6,0.7259572395417744,6,0.7782932837659957,31,-0.052336044224221334
azitwo,2012,senescence date,2012-10-17,2012-10-14,-3,0.42533665257448217,6,0.7782932837659957,31,NA
azitwo,2013,green-up date,2013-05-26,2013-05-23,-3,0.43186004422465235,6,0.7782932837659957,31,NA
azitwo,2013,max,2013-08-09,2013-08-04,-5,0.8159791825079745,6,0.7782932837659957,31,0.03768589874197881
