"site_code","date","pre_mm/month","plotdate","month","year"
"tyso.us","Jan/16/1981",9.10000038146973,1981-01-16,"Jan",1981
"ucsc.us","Jan/16/1981",120.300003051758,1981-01-16,"Jan",1981
"ufrec.us","Jan/16/1981",13.9000005722046,1981-01-16,"Jan",1981
"ukul.za","Jan/16/1981",160.400009155273,1981-01-16,"Jan",1981
"unc.us","Jan/16/1981",21.6000003814697,1981-01-16,"Jan",1981
"uwo.ca","Jan/16/1981",52,1981-01-16,"Jan",1981
"valm.ch","Jan/16/1981",235,1981-01-16,"Jan",1981
"vaqu.mx","Jan/16/1981",40.4000015258789,1981-01-16,"Jan",1981
"varexp.no","Jan/16/1981",67.5999984741211,1981-01-16,"Jan",1981
"vargrass.no","Jan/16/1981",81.4000015258789,1981-01-16,"Jan",1981
"varheath.no","Jan/16/1981",81.4000015258789,1981-01-16,"Jan",1981
"vass.se","Jan/16/1981",180.100006103516,1981-01-16,"Jan",1981
"wupatki.us","Jan/16/1981",26.7000007629395,1981-01-16,"Jan",1981
"xilin.cn","Jan/16/1981",1,1981-01-16,"Jan",1981
"yarra.au","Jan/16/1981",83.5999984741211,1981-01-16,"Jan",1981
"abisko.se","Feb/15/1981",24.8999996185303,1981-02-15,"Feb",1981
"ahth.is","Feb/15/1981",48.4000015258789,1981-02-15,"Feb",1981
"amcamp.us","Feb/15/1981",355.200012207031,1981-02-15,"Feb",1981
"amlr.is","Feb/15/1981",48.4000015258789,1981-02-15,"Feb",1981
"anti.ec","Feb/15/1981",97.5,1981-02-15,"Feb",1981
"arch.us","Feb/15/1981",73,1981-02-15,"Feb",1981
"azi.cn","Feb/15/1981",0.900000035762787,1981-02-15,"Feb",1981
"azitwo.cn","Feb/15/1981",0.900000035762787,1981-02-15,"Feb",1981
"badlau.de","Feb/15/1981",19.5,1981-02-15,"Feb",1981
"bari.ar","Feb/15/1981",0.699999988079071,1981-02-15,"Feb",1981
"barta.us","Feb/15/1981",12.5,1981-02-15,"Feb",1981
"bayr.de","Feb/15/1981",25.6000003814697,1981-02-15,"Feb",1981
"bldr.us","Feb/15/1981",9.80000019073486,1981-02-15,"Feb",1981
"bnbt.us","Feb/15/1981",10.3000001907349,1981-02-15,"Feb",1981
"bnch.us","Feb/15/1981",116.800003051758,1981-02-15,"Feb",1981
"bogong.au","Feb/15/1981",79.9000015258789,1981-02-15,"Feb",1981
"bttr.us","Feb/15/1981",116.800003051758,1981-02-15,"Feb",1981
"bunya.au","Feb/15/1981",236.699996948242,1981-02-15,"Feb",1981
"burrawan.au","Feb/15/1981",194.400009155273,1981-02-15,"Feb",1981
"burren.ie","Feb/15/1981",78.7000045776367,1981-02-15,"Feb",1981
"bynb.cn","Feb/15/1981",10.6000003814697,1981-02-15,"Feb",1981
"cbgb.us","Feb/15/1981",52.6000022888184,1981-02-15,"Feb",1981
"cdcr.us","Feb/15/1981",44,1981-02-15,"Feb",1981
"cdpt.us","Feb/15/1981",3.20000004768372,1981-02-15,"Feb",1981
"cereep.fr","Feb/15/1981",39.6000022888184,1981-02-15,"Feb",1981
"chilcas.ar","Feb/15/1981",87.5999984741211,1981-02-15,"Feb",1981
"comp.pt","Feb/15/1981",38.7999992370605,1981-02-15,"Feb",1981
"cowi.ca","Feb/15/1981",258,1981-02-15,"Feb",1981
"derr.au","Feb/15/1981",25.2000007629395,1981-02-15,"Feb",1981
"doane.us","Feb/15/1981",11.6000003814697,1981-02-15,"Feb",1981
"drake.za","Feb/15/1981",135.400009155273,1981-02-15,"Feb",1981
"elkh.us","Feb/15/1981",77.7000045776367,1981-02-15,"Feb",1981
