"site_code","date","tmp_degrees_Celsius","plotdate","month","year"
"gcnsui.cn","Feb/15/1981",-15,1981-02-15,"Feb",1981
"gcnura.cn","Feb/15/1981",-8,1981-02-15,"Feb",1981
"gcnxil.cn","Feb/15/1981",-16.7000007629395,1981-02-15,"Feb",1981
"gcnyan.cn","Feb/15/1981",-4.80000019073486,1981-02-15,"Feb",1981
"gcnyou.cn","Feb/15/1981",-9.10000038146973,1981-02-15,"Feb",1981
"gilb.za","Feb/15/1981",19.5,1981-02-15,"Feb",1981
"glac.us","Feb/15/1981",5.70000028610229,1981-02-15,"Feb",1981
"glcr.us","Feb/15/1981",-1.70000004768372,1981-02-15,"Feb",1981
"hall.us","Feb/15/1981",4.20000028610229,1981-02-15,"Feb",1981
"hart.us","Feb/15/1981",0.600000023841858,1981-02-15,"Feb",1981
"hast.us","Feb/15/1981",11,1981-02-15,"Feb",1981
"hero.uk","Feb/15/1981",2.60000014305115,1981-02-15,"Feb",1981
"hnvr.us","Feb/15/1981",-1.60000002384186,1981-02-15,"Feb",1981
"hogone.us","Feb/15/1981",6.40000009536743,1981-02-15,"Feb",1981
"hogtwo.us","Feb/15/1981",6.40000009536743,1981-02-15,"Feb",1981
"hopl.us","Feb/15/1981",9.30000019073486,1981-02-15,"Feb",1981
"hustai.mn","Feb/15/1981",-19.2000007629395,1981-02-15,"Feb",1981
"jasp.us","Feb/15/1981",12.1000003814697,1981-02-15,"Feb",1981
"jena.de","Feb/15/1981",-0.900000035762787,1981-02-15,"Feb",1981
"jorn.us","Feb/15/1981",6.30000019073486,1981-02-15,"Feb",1981
"kark.se","Feb/15/1981",-16.3000011444092,1981-02-15,"Feb",1981
"kbs.us","Feb/15/1981",-2,1981-02-15,"Feb",1981
"kibber.in","Feb/15/1981",-10,1981-02-15,"Feb",1981
"kidman.au","Feb/15/1981",29.3000011444092,1981-02-15,"Feb",1981
"kilp.fi","Feb/15/1981",-17.3000011444092,1981-02-15,"Feb",1981
"kiny.au","Feb/15/1981",24.3999996185303,1981-02-15,"Feb",1981
"kirik.ee","Feb/15/1981",-4,1981-02-15,"Feb",1981
"koffler.ca","Feb/15/1981",-3.29999995231628,1981-02-15,"Feb",1981
"konz.us","Feb/15/1981",2.60000014305115,1981-02-15,"Feb",1981
"konzn1b.us","Feb/15/1981",2.60000014305115,1981-02-15,"Feb",1981
"lagoas.br","Feb/15/1981",27.7000007629395,1981-02-15,"Feb",1981
"lake.us","Feb/15/1981",-4.30000019073486,1981-02-15,"Feb",1981
"lakta.se","Feb/15/1981",-16.2000007629395,1981-02-15,"Feb",1981
"lancaster.uk","Feb/15/1981",2.70000004768372,1981-02-15,"Feb",1981
"lead.us","Feb/15/1981",7,1981-02-15,"Feb",1981
"look.us","Feb/15/1981",2.70000004768372,1981-02-15,"Feb",1981
"lubb.us","Feb/15/1981",7.30000019073486,1981-02-15,"Feb",1981
"marc.ar","Feb/15/1981",20.3999996185303,1981-02-15,"Feb",1981
"mcdan.us","Feb/15/1981",2.79999995231628,1981-02-15,"Feb",1981
"mcla.us","Feb/15/1981",9.60000038146973,1981-02-15,"Feb",1981
"meto.us","Feb/15/1981",6.40000009536743,1981-02-15,"Feb",1981
"mitch.au","Feb/15/1981",29.5,1981-02-15,"Feb",1981
"msla.us","Feb/15/1981",-1.39999997615814,1981-02-15,"Feb",1981
"msum.us","Feb/15/1981",-6.80000019073486,1981-02-15,"Feb",1981
"mtca.au","Feb/15/1981",22.2000007629395,1981-02-15,"Feb",1981
"neba.jp","Feb/15/1981",-1.30000007152557,1981-02-15,"Feb",1981
"nilla.au","Feb/15/1981",22.5,1981-02-15,"Feb",1981
"nioo.nl","Feb/15/1981",1.5,1981-02-15,"Feb",1981
"niwo.us","Feb/15/1981",-1,1981-02-15,"Feb",1981
"ovor.mn","Feb/15/1981",-18.6000003814697,1981-02-15,"Feb",1981
"pampa.ar","Feb/15/1981",23.3999996185303,1981-02-15,"Feb",1981
"pape.de","Feb/15/1981",1.10000002384186,1981-02-15,"Feb",1981
"pich.ec","Feb/15/1981",15.4000005722046,1981-02-15,"Feb",1981
"ping.au","Feb/15/1981",21.2000007629395,1981-02-15,"Feb",1981
"pinj.au","Feb/15/1981",25.8000011444092,1981-02-15,"Feb",1981
"podo.ec","Feb/15/1981",16.5,1981-02-15,"Feb",1981
"potrok.ar","Feb/15/1981",12.1000003814697,1981-02-15,"Feb",1981
"ramsay.us","Feb/15/1981",11.1999998092651,1981-02-15,"Feb",1981
"rook.uk","Feb/15/1981",2.60000014305115,1981-02-15,"Feb",1981
"saana.fi","Feb/15/1981",-17.3000011444092,1981-02-15,"Feb",1981
"sage.us","Feb/15/1981",1,1981-02-15,"Feb",1981
"saline.us","Feb/15/1981",1.30000007152557,1981-02-15,"Feb",1981
"sava.us","Feb/15/1981",9.60000038146973,1981-02-15,"Feb",1981
"sedg.us","Feb/15/1981",11.8000001907349,1981-02-15,"Feb",1981
"sereng.tz","Feb/15/1981",22.6000003814697,1981-02-15,"Feb",1981
"sevi.us","Feb/15/1981",3.40000009536743,1981-02-15,"Feb",1981
"sgs.us","Feb/15/1981",1,1981-02-15,"Feb",1981
"shps.us","Feb/15/1981",-3,1981-02-15,"Feb",1981
"sier.us","Feb/15/1981",9.19999980926514,1981-02-15,"Feb",1981
"sirsi.in","Feb/15/1981",25,1981-02-15,"Feb",1981
"smith.us","Feb/15/1981",4.90000009536743,1981-02-15,"Feb",1981
"spin.us","Feb/15/1981",1.80000007152557,1981-02-15,"Feb",1981
"spv.ar","Feb/15/1981",20,1981-02-15,"Feb",1981
"summ.za","Feb/15/1981",22.6000003814697,1981-02-15,"Feb",1981
"sval.no","Feb/15/1981",-16.5,1981-02-15,"Feb",1981
"temple.us","Feb/15/1981",10.6999998092651,1981-02-15,"Feb",1981
"thth.is","Feb/15/1981",-6,1981-02-15,"Feb",1981
"tmlr.is","Feb/15/1981",-6,1981-02-15,"Feb",1981
"trel.us","Feb/15/1981",-0.800000011920929,1981-02-15,"Feb",1981
"tyso.us","Feb/15/1981",2.29999995231628,1981-02-15,"Feb",1981
"ucsc.us","Feb/15/1981",11.9000005722046,1981-02-15,"Feb",1981
"ufrec.us","Feb/15/1981",17.3999996185303,1981-02-15,"Feb",1981
"ukul.za","Feb/15/1981",20.1000003814697,1981-02-15,"Feb",1981
"unc.us","Feb/15/1981",5.20000028610229,1981-02-15,"Feb",1981
"uwo.ca","Feb/15/1981",-3.70000004768372,1981-02-15,"Feb",1981
"valm.ch","Feb/15/1981",-10.1999998092651,1981-02-15,"Feb",1981
"vaqu.mx","Feb/15/1981",13.9000005722046,1981-02-15,"Feb",1981
"varexp.no","Feb/15/1981",-13.1000003814697,1981-02-15,"Feb",1981
"vargrass.no","Feb/15/1981",-12.5,1981-02-15,"Feb",1981
"varheath.no","Feb/15/1981",-12.5,1981-02-15,"Feb",1981
"vass.se","Feb/15/1981",-16.3000011444092,1981-02-15,"Feb",1981
"wupatki.us","Feb/15/1981",12.3000001907349,1981-02-15,"Feb",1981
"xilin.cn","Feb/15/1981",-16.7000007629395,1981-02-15,"Feb",1981
"yarra.au","Feb/15/1981",22.8999996185303,1981-02-15,"Feb",1981
"abisko.se","Mar/16/1981",-16.7000007629395,1981-03-16,"Mar",1981
"ahth.is","Mar/16/1981",-3.90000009536743,1981-03-16,"Mar",1981
"amcamp.us","Mar/16/1981",7.5,1981-03-16,"Mar",1981
"amlr.is","Mar/16/1981",-3.90000009536743,1981-03-16,"Mar",1981
"anti.ec","Mar/16/1981",11.8000001907349,1981-03-16,"Mar",1981
"arch.us","Mar/16/1981",18.7000007629395,1981-03-16,"Mar",1981
"azi.cn","Mar/16/1981",-1.70000004768372,1981-03-16,"Mar",1981
"azitwo.cn","Mar/16/1981",-1.70000004768372,1981-03-16,"Mar",1981
"badlau.de","Mar/16/1981",7.5,1981-03-16,"Mar",1981
"bari.ar","Mar/16/1981",10.8000001907349,1981-03-16,"Mar",1981
"barta.us","Mar/16/1981",3.40000009536743,1981-03-16,"Mar",1981
"bayr.de","Mar/16/1981",6.70000028610229,1981-03-16,"Mar",1981
"bldr.us","Mar/16/1981",1,1981-03-16,"Mar",1981
