"site_code","date","pre_mm/month","plotdate","month","year"
"sevi.us","Jan/16/2001",36.7999992370605,2001-01-16,"Jan",2001
"sgs.us","Jan/16/2001",13.4000005722046,2001-01-16,"Jan",2001
"shps.us","Jan/16/2001",23.6000003814697,2001-01-16,"Jan",2001
"sier.us","Jan/16/2001",160.5,2001-01-16,"Jan",2001
"sirsi.in","Jan/16/2001",1,2001-01-16,"Jan",2001
"smith.us","Jan/16/2001",197.699996948242,2001-01-16,"Jan",2001
"spin.us","Jan/16/2001",37.7000007629395,2001-01-16,"Jan",2001
"spv.ar","Jan/16/2001",9.19999980926514,2001-01-16,"Jan",2001
"summ.za","Jan/16/2001",69.5999984741211,2001-01-16,"Jan",2001
"sval.no","Jan/16/2001",40,2001-01-16,"Jan",2001
"temple.us","Jan/16/2001",98.5,2001-01-16,"Jan",2001
"thth.is","Jan/16/2001",53.4000015258789,2001-01-16,"Jan",2001
"tmlr.is","Jan/16/2001",53.4000015258789,2001-01-16,"Jan",2001
"trel.us","Jan/16/2001",58.9000015258789,2001-01-16,"Jan",2001
"tyso.us","Jan/16/2001",44.1000022888184,2001-01-16,"Jan",2001
"ucsc.us","Jan/16/2001",93.5999984741211,2001-01-16,"Jan",2001
"ufrec.us","Jan/16/2001",20.6000003814697,2001-01-16,"Jan",2001
"ukul.za","Jan/16/2001",67.5,2001-01-16,"Jan",2001
"unc.us","Jan/16/2001",51.7000007629395,2001-01-16,"Jan",2001
"uwo.ca","Jan/16/2001",54.7999992370605,2001-01-16,"Jan",2001
"valm.ch","Jan/16/2001",216.400009155273,2001-01-16,"Jan",2001
"vaqu.mx","Jan/16/2001",3.79999995231628,2001-01-16,"Jan",2001
"varexp.no","Jan/16/2001",41.2000007629395,2001-01-16,"Jan",2001
"vargrass.no","Jan/16/2001",49.2999992370605,2001-01-16,"Jan",2001
"varheath.no","Jan/16/2001",49.2999992370605,2001-01-16,"Jan",2001
"vass.se","Jan/16/2001",72,2001-01-16,"Jan",2001
"wupatki.us","Jan/16/2001",61.6000022888184,2001-01-16,"Jan",2001
"xilin.cn","Jan/16/2001",2.40000009536743,2001-01-16,"Jan",2001
"yarra.au","Jan/16/2001",75.7000045776367,2001-01-16,"Jan",2001
"abisko.se","Feb/15/2001",72.3000030517578,2001-02-15,"Feb",2001
"ahth.is","Feb/15/2001",52.4000015258789,2001-02-15,"Feb",2001
"amcamp.us","Feb/15/2001",131.199996948242,2001-02-15,"Feb",2001
"amlr.is","Feb/15/2001",52.4000015258789,2001-02-15,"Feb",2001
"anti.ec","Feb/15/2001",74.3000030517578,2001-02-15,"Feb",2001
"arch.us","Feb/15/2001",5.59999990463257,2001-02-15,"Feb",2001
"azi.cn","Feb/15/2001",4.40000009536743,2001-02-15,"Feb",2001
"azitwo.cn","Feb/15/2001",4.40000009536743,2001-02-15,"Feb",2001
"badlau.de","Feb/15/2001",26.6000003814697,2001-02-15,"Feb",2001
"bari.ar","Feb/15/2001",15.1000003814697,2001-02-15,"Feb",2001
"barta.us","Feb/15/2001",18.8000011444092,2001-02-15,"Feb",2001
"bayr.de","Feb/15/2001",34.1000022888184,2001-02-15,"Feb",2001
"bldr.us","Feb/15/2001",17.5,2001-02-15,"Feb",2001
"bnbt.us","Feb/15/2001",70.9000015258789,2001-02-15,"Feb",2001
"bnch.us","Feb/15/2001",53.1000022888184,2001-02-15,"Feb",2001
"bogong.au","Feb/15/2001",72.3000030517578,2001-02-15,"Feb",2001
"bttr.us","Feb/15/2001",53.1000022888184,2001-02-15,"Feb",2001
"bunya.au","Feb/15/2001",132.5,2001-02-15,"Feb",2001
